date,weight_kg,body_fat_kg,body_fat_pct,muscle_kg,muscle_pct,water_kg,water_pct,visceral_fat,bmr_kcal
2026-08-31,68.1,11.3,16.6,53.9,79.1,38.6,56.7,5,1633
2026-09-04,68.7,11.1,16.1,54.6,79.5,39.7,58.1,5,1658
2026-09-05,68.9,11.4,16.6,54.5,79.1,40.6,58.9,5,1653
2026-09-06,68.4,10.5,15.4,54.9,80.3,40.3,58.9,5,1663
